"draw_date","method","suggested_last2","actual_last2","hit_last2","suggested_3digit","actual_3digit","hit_3digit","rank_hit"
"2018-11-01","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,94,04,06,07,10,13,15,16","84","0","596,726,983,005,038,117,141,333,360,390,464,477,507,530,602,609,623,630,720,775","046,576,583,840","0",""
"2018-11-16","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,84,94,04,06,07,10,13,15","71","0","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,583,602,609,623,630","140,164,903,930","0",""
"2018-12-01","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,84,94,04,06,07,10,13,15","45","0","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,583,602,609,623,630","307,561,670,840","0",""
"2018-12-16","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,45,64,84,94,04,06,07,10,13","80","0","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,561,583,602,609,623","297,564,624,948","0",""
"2018-12-30","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,45,64,80,84,94,04,06,07,10","31","1","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,561,583,602,609,623","020,701,867,913","0","8"
"2019-01-17","frequency_score_v1","66,11,24,31,73,03,08,26,32,38,40,45,64,80,84,94,04,06,07,10","06","1","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,561,583,602,609,623","079,127,412,652","0","18"
"2019-02-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","43","0","596,726,983,005,038,046,117,141,333,360,390,464,477,507,530,561,583,602,609,623","046,134,197,779","1","6"
"2019-02-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","81","0","046,596,726,983,005,038,117,141,333,360,390,464,477,507,530,561,583,602,609,623","568,612,824,910","0",""
"2019-03-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","37","0","046,596,726,983,005,038,117,141,333,360,390,464,477,507,530,561,583,602,609,623","650,651,830,999","0",""
"2019-03-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","48","0","046,596,726,983,005,038,117,141,333,360,390,464,477,507,530,561,583,602,609,623","154,628,641,883","0",""
"2019-04-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","88","0","046,596,726,983,005,038,117,141,333,360,390,464,477,507,530,561,583,602,609,623","403,528,767,959","0",""
"2019-04-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","12","0","046,596,726,983,005,038,117,141,333,360,390,403,464,477,507,530,561,583,602,609","235,331,930,966","0",""
"2019-05-02","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,45,64,80,84,94,04,07,10","43","0","046,596,726,983,005,038,117,141,331,333,360,390,403,464,477,507,530,561,583,602","250,324,374,476","0",""
"2019-05-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,80,84,94,04,07","69","0","046,596,726,983,005,038,117,141,324,331,333,360,390,403,464,476,477,507,530,561","018,526,716,949","0",""
"2019-06-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","89","0","046,596,726,983,005,038,117,141,324,331,333,360,390,403,464,476,477,507,526,530","215,461,465,713","0",""
"2019-06-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","25","0","046,596,726,983,005,038,117,141,324,331,333,360,390,403,464,476,477,507,526,530","055,127,296,884","0",""
"2019-07-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","39","0","046,596,726,983,005,038,117,127,141,324,331,333,360,390,403,464,476,477,507,526","006,647,862,864","0",""
"2019-07-15","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","55","0","046,596,726,983,005,038,117,127,141,324,331,333,360,390,403,464,476,477,507,526","113,765,883,901","0",""
"2019-08-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","35","0","046,596,726,983,005,038,117,127,141,324,331,333,360,390,403,464,476,477,507,526","006,562,581,983","1","4"
"2019-08-16","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","49","0","983,046,596,726,005,006,038,117,127,141,324,331,333,360,390,403,464,476,477,507","476,563,891,912","1","18"
"2019-09-01","frequency_score_v1","66,11,24,31,73,03,06,08,26,32,38,40,43,45,64,69,80,84,94,04","10","0","983,046,476,596,726,005,006,038,117,127,141,324,331,333,360,390,403,464,477,507","202,274,787,847","0",""
"2019-09-16","frequency_score_v1","66,11,24,31,73,03,06,08,10,26,32,38,40,43,45,64,69,80,84,94","33","0","983,046,476,596,726,787,005,006,038,117,127,141,274,324,331,333,360,390,403,464","388,857,925,947","0",""
"2019-10-01","frequency_score_v1","66,11,24,31,73,03,06,08,10,26,32,38,40,43,45,64,69,80,84,94","92","0","983,046,476,596,726,787,947,005,006,038,117,127,141,274,324,331,333,360,388,390","197,593,606,920","0",""
"2019-10-16","frequency_score_v1","66,11,24,31,73,03,06,08,10,26,32,38,40,43,45,64,69,80,84,92","55","0","983,046,476,596,726,787,947,005,006,038,117,127,141,197,274,324,331,333,360,388","132,152,564,625","0",""
"2019-11-01","frequency_score_v1","66,11,24,31,73,03,06,08,10,26,32,38,40,43,45,55,64,69,80,84","23","0","983,046,476,596,726,787,947,005,006,038,117,127,132,141,197,274,324,331,333,360","021,375,793,806","0",""
"2019-11-16","frequency_score_v1","66,11,24,31,73,03,06,08,10,23,26,32,38,40,43,45,55,64,69,80","64","1","983,046,476,596,726,787,947,005,006,038,117,127,132,141,197,274,324,331,333,360","085,223,321,640","0","18"
"2019-12-01","frequency_score_v1","66,11,24,31,64,73,03,06,08,10,23,26,32,38,40,43,45,55,69,80","61","0","983,046,476,596,726,787,947,005,006,038,117,127,132,141,197,274,321,324,331,333","013,522,617,812","0",""
"2019-12-16","frequency_score_v1","66,11,24,31,64,73,03,06,08,10,23,26,32,38,40,43,45,55,61,69","43","1","983,046,476,596,726,787,947,005,006,038,117,127,132,141,197,274,321,324,331,333","138,555,924,970","0","16"
"2019-12-30","frequency_score_v1","66,11,24,31,43,64,73,03,06,08,10,23,26,32,38,40,45,55,61,69","16","0","983,046,476,596,726,787,947,005,006,038,117,127,132,138,141,197,274,321,324,331","140,382,541,811","0",""
"2020-01-17","frequency_score_v1","66,11,24,31,43,64,73,03,06,08,10,16,23,26,32,38,40,45,55,61","04","0","983,046,476,596,726,787,947,005,006,038,117,127,132,138,140,141,197,274,321,324","132,379,680,774","1","13"
"2020-02-01","frequency_score_v1","66,11,24,31,43,64,73,03,04,06,08,10,16,23,26,32,38,40,45,55","59","0","983,046,132,476,596,726,787,947,005,006,038,117,127,138,140,141,197,274,321,324","062,227,375,552","0",""
"2020-02-16","frequency_score_v1","66,11,24,31,43,64,73,03,04,06,08,10,16,23,26,32,38,40,45,55","15","0","983,046,132,375,476,596,726,787,947,005,006,038,117,127,138,140,141,197,274,321","030,403,945,952","0",""
"2020-03-01","frequency_score_v1","66,11,24,31,43,64,73,03,04,06,08,10,15,16,23,26,32,38,40,45","94","0","983,046,132,375,403,476,596,726,787,947,005,006,038,117,127,138,140,141,197,274","328,597,938,982","0",""
"2020-03-16","frequency_score_v1","66,11,24,31,43,64,73,94,03,04,06,08,10,15,16,23,26,32,38,40","58","0","983,046,132,375,403,476,596,726,787,947,005,006,038,117,127,138,140,141,197,274","404,446,726,772","1","8"
"2020-04-01","frequency_score_v1","66,11,24,31,43,64,73,94,03,04,06,08,10,15,16,23,26,32,38,40","85","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","095,191,222,430","0",""
"2020-06-01","frequency_score_v1","66,11,24,31,43,64,73,94,03,04,06,08,10,15,16,23,26,32,38,40","64","1","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","242,489,562,567","0","6"
"2020-06-16","frequency_score_v1","64,66,11,24,31,43,73,94,03,04,06,08,10,15,16,23,26,32,38,40","76","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","565,648,882,967","0",""
"2020-07-01","frequency_score_v1","64,66,11,24,31,43,73,94,03,04,06,08,10,15,16,23,26,32,38,40","95","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","094,258,362,830","0",""
"2020-07-16","frequency_score_v1","64,66,11,24,31,43,73,94,03,04,06,08,10,15,16,23,26,32,38,40","10","1","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","286,494,533,535","0","13"
"2020-08-01","frequency_score_v1","64,66,10,11,24,31,43,73,94,03,04,06,08,15,16,23,26,32,38,40","75","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","391,578,925,931","0",""
"2020-08-16","frequency_score_v1","64,66,10,11,24,31,43,73,94,03,04,06,08,15,16,23,26,32,38,40","14","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","364,712,811,886","0",""
"2020-09-01","frequency_score_v1","64,66,10,11,24,31,43,73,94,03,04,06,08,15,16,23,26,32,38,40","36","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","342,725,986,997","0",""
"2020-09-16","frequency_score_v1","64,66,10,11,24,31,43,73,94,03,04,06,08,15,16,23,26,32,38,40","27","0","726,983,046,132,375,403,476,596,787,947,005,006,038,117,127,138,140,141,197,274","083,220,571,623","0",""
"2020-10-01","frequency_score_v1","64,66,10,11,24,31,43,73,94,03,04,06,08,15,16,23,26,27,32,38","94","1","726,983,046,132,375,403,476,596,623,787,947,005,006,038,117,127,138,140,141,197","110,595,757,893","0","9"
"2020-10-16","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","89","0","726,983,046,132,375,403,476,596,623,787,947,005,006,038,117,127,138,140,141,197","045,051,381,464","0",""
"2020-11-01","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","54","0","726,983,046,132,375,403,464,476,596,623,787,947,005,006,038,117,127,138,140,141","062,401,404,598","0",""
"2020-11-16","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","68","0","726,983,046,132,375,403,464,476,596,623,787,947,005,006,038,062,117,127,138,140","208,463,661,741","0",""
"2020-12-01","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","93","0","726,983,046,132,375,403,464,476,596,623,787,947,005,006,038,062,117,127,138,140","776,834,840,994","0",""
"2020-12-16","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","77","0","726,983,046,132,375,403,464,476,596,623,787,840,947,005,006,038,062,117,127,138","072,303,703,828","0",""
"2020-12-30","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,38","36","0","726,983,046,132,375,403,464,476,596,623,787,840,947,005,006,038,062,117,127,138","193,321,628,804","0",""
"2021-01-17","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,36","67","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,062,117,127","153,395,566,653","0",""
"2021-02-01","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,36","48","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,062,117,127","282,307,605,972","0",""
"2021-02-16","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,23,26,27,32,36","18","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,062,117,127","057,393,603,861","0",""
